Date;Meters;Name
2020-11-04;4100;Chris
2020-11-06;3520;Milly
2020-10-31;10010;Don
2020-11-03;10030;Don
2020-11-05;10070;Don
2020-11-05;6260;Diane
2020-11-05;6020;Caroline 
2020-11-05;4990;Caroline 
2020-11-05;4290;Diane
2020-11-05;5400;Victoria
2020-11-06;5020;Don
2020-11-06;6490;Anne
2020-11-06;6276;Chris
2020-11-07;53300;Amy
2020-11-07;59020;Charlie 
2020-11-07;6000;Diane
2020-11-07;13936;Chris
2020-11-07;6212;Don
2020-11-07;6020;Caroline
2020-11-07;5000;Caroline
2020-11-08;6260;Amy 
2020-11-08;6276;Chris
2020-11-08;5000;Allie
2020-11-08;5000;Diane
2020-11-08;4770;Milly
2020-11-08;4300;Charlie 
2020-11-09;5000;Caroline
2020-11-09;5355;Don
2020-11-09;11830;Don
2020-11-09;5500;Charlie
2020-11-09;5350;Don
2020-11-09;4500;Amy
2020-11-10;4800;Amy
2020-11-10;7027;Diane
2020-11-10;45920;Charlie
2020-11-10;3870;Milly
2020-11-10;11200;Don
2020-11-10;6500;Diane
2020-11-10;6255;Don
2020-11-10;6490;Anne
2020-11-10;5000;Caroline
2020-11-11;6450;Caroline
2020-11-11;4300;Charlie
2020-11-12;5520;Amy
2020-11-11;10030;Don
2020-11-12;7058;Diane
2020-11-12;6000;Charlie
2020-11-12;73170;Caroline 
2020-11-12;4300;Charlie
2020-11-12;7680;Don
2020-11-13;6501;claire
2020-11-13;7160;Sue
2020-11-11;7000;Don
2020-11-13;6200;Caroline
2020-11-13;80000;Charlie
2020-11-13;80053;Amy
2020-11-13;5670;Sue
2020-11-13;11593;Chris
